50   120.200000   99.019429   141.380571
100   207.800000   174.741341   240.858659
150   306.100000   252.432212   359.767788
200   419.100000   343.362289   494.837711
250   620.200000   492.192866   748.207134
500   1653.600000   1309.814345   1997.385655
550   2013.700000   1574.946048   2452.453952
600   2241.600000   1787.326215   2695.873785
650   2511.200000   2013.807304   3008.592696
700   2786.600000   2228.642573   3344.557427
750   3075.700000   2472.622216   3678.777784
800   3454.400000   2746.413624   4162.386376
850   3746.700000   2977.816811   4515.583189
900   4067.900000   3252.558558   4883.241442
950   4355.300000   3475.513283   5235.086717
1000   4843.900000   3808.812744   5878.987256
