50   247.700000   141.299738   354.100262
100   369.600000   266.353507   472.846493
150   583.600000   387.278621   779.921379
200   2191.800000   1246.982246   3136.617754
250   2265.600000   711.782183   3819.417817
300   3204.000000   1379.308966   5028.691034
350   4603.300000   1726.303360   7480.296640
400   4517.500000   2008.492412   7026.507588
450   6599.300000   1999.454607   11199.145393
500   7785.900000   3748.567605   11823.232395
550   12640.200000   5215.947455   20064.452545
600   8513.900000   5475.678550   11552.121450
650   12404.200000   3809.915741   20998.484259
700   15708.500000   8294.666474   23122.333526
750   26401.700000   10408.208274   42395.191726
800   22984.800000   14046.978518   31922.621482
850   30513.300000   16717.224787   44309.375213
900   23975.200000   11508.851377   36441.548623
950   33146.200000   12483.265357   53809.134643
1000   30732.600000   7890.929419   53574.270581
