50   469.600000   309.425426   629.774574
100   1334.700000   1112.439399   1556.960601
150   3446.000000   2535.386368   4356.613632
200   7200.000000   4920.805584   9479.194416
250   15115.700000   10328.832729   19902.567271
300   24446.900000   17518.364294   31375.435706
350   37044.800000   26140.959347   47948.640653
400   58296.300000   42520.108662   74072.491338
450   80137.000000   59726.926986   100547.073014
500   109054.500000   79912.299012   138196.700988
550   138963.600000   103494.726537   174432.473463
600   169980.700000   126007.960465   213953.439535


