50   347.800000   201.332172   494.267828
100   726.500000   579.176962   873.823038
150   1245.000000   1000.520571   1489.479429
200   2169.500000   1631.231542   2707.768458
250   3785.400000   2908.915417   4661.884583
300   5065.400000   4053.867969   6076.932031
350   6787.400000   5475.554119   8099.245881
400   11931.800000   6380.882151   17482.717849
450   15258.400000   7174.457941   23342.342059
500   20075.600000   7440.669934   32710.530066
550   26231.500000   7799.188688   44663.811312
600   21169.500000   17689.382659   24649.617341
650   25477.300000   21266.534589   29688.065411
700   28937.600000   24448.289060   33426.910940
750   34800.500000   29495.384617   40105.615383
800   39673.100000   33052.558971   46293.641029
850   42836.000000   37032.389521   48639.610479
900   48334.500000   42619.365775   54049.634225
950   51638.400000   45999.201563   57277.598437
1000   56131.700000   50315.748920   61947.651080
