95 68
281 408
560 1428
839 3060
1118 5304
1397 8160
1676 11628
1955 15708
2234 20400
2513 25704
2792 31620
3071 38148
3350 45288
3629 53040
3908 61404
4187 70380
4466 79968
4745 90168
5024 100980
6140 150348
7256 209508
8372 278460
9488 357204
10604 445740
