Size     Mo/NC/ AC/ FC/ DR   Ident       Dsize   NCC     TCC     BT/V    AP      S       Total    NumS    BJ   TypA/B    FCcost    DRcost    AS/AStime   ConsSort
500      bt/T/  BEFORE/ T/ T 1414384866  1.0     3367    1221    4/5     19.95   0.01    19.96    1       0    0/0       10        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 1621232424  1.0     3299    604     4/5     15.54   0.01    15.55    1       0    0/0       10        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 1972691557  1.0     3319    699     4/5     15.64   0.01    15.65    1       0    0/0       10        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 2028154060  1.0     3385    1257    4/5     19.92   0.02    19.94    1       0    0/0       10        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 2175312090  1.2     3360    835     4/6     16.45   0.03    16.48    2       0    0/0       14        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 2258260002  1.2     3400    1344    4/6     20.52   0.04    20.56    2       0    0/0       14        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 4997565789  1.0     3399    1586    4/5     23.97   0.01    23.98    1       0    0/0       10        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 5192471197  1.0     3394    1019    4/5     18.68   0.02    18.7     1       0    0/0       10        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 5448756273  1.0     3325    682     4/5     16.02   0.01    16.03    1       0    0/0       10        6         RANDOM/0.0  RANDOM
500      bt/T/  BEFORE/ T/ T 8634259052  1.0     3370    1056    4/5     17.84   0.03    17.87    1       0    0/0       10        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 1414384866  1.0     4014    1663    4/5     31.27   0.01    31.28    1       0    0/0       10        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 1621232424  1.0     3921    747     4/5     22.94   0.01    22.95    1       0    0/0       10        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 1972691557  1.0     3951    1009    4/5     23.88   0.01    23.89    1       0    0/0       10        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 2028154060  1.0     4011    1529    4/5     29.32   0.01    29.33    1       0    0/0       10        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 2175312090  1.2     4008    1072    4/6     24.17   0.04    24.21    2       0    0/0       14        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 2258260002  1.2     4038    1708    4/6     30.36   0.04    30.4     2       0    0/0       14        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 4997565789  1.0     4058    2351    4/5     38.31   0.01    38.32    1       0    0/0       10        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 5192471197  1.0     4025    1196    4/5     25.9    0.01    25.91    1       0    0/0       10        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 5448756273  1.0     3977    975     4/5     23.9    0.01    23.91    1       0    0/0       10        6         RANDOM/0.0  RANDOM
600      bt/T/  BEFORE/ T/ T 8634259052  1.0     4012    1441    4/5     28.69   0.01    28.7     1       0    0/0       10        6         RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 1414384866  1.0     4659    2119    4/5     43.03   0.02    43.05    1       0    0/0       10        6         RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 1621232424  1.0     4582    1047    4/5     32.54   0.01    32.55    1       0    0/0       10        6         RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 1972691557  1.0     4582    1572    4/5     36.82   0.01    36.84    1       0    0/0       10        6         RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 2028154060  1.0     4693    2372    4/5     43.06   0.01    43.07    1       0    0/0       10        6         RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 2175312090  1.2     4646    1353    8/10    32.75   0.05    32.8     2       0    0/0       20        12        RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 2258260002  1.2     4683    2152    8/10    41.55   0.05    41.6     2       0    0/0       20        12        RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 4997565789  1.0     4719    2931    4/5     53.23   0.01    53.24    1       0    0/0       10        6         RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 5192471197  1.0     4656    1483    4/5     36.45   0.01    36.46    1       0    0/0       10        6         RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 5448756273  1.0     4646    1788    4/5     38.4    0.01    38.41    1       0    0/0       10        6         RANDOM/0.0  RANDOM
700      bt/T/  BEFORE/ T/ T 8634259052  1.0     4665    1743    4/5     38.22   0.01    38.23    1       0    0/0       10        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 1414384866  1.0     5329    2907    4/5     60.13   0.01    60.14    1       0    0/0       10        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 1621232424  1.0     5236    1619    4/5     44.64   0.02    44.66    1       0    0/0       10        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 1972691557  1.0     5242    2024    4/5     52.15   0.02    52.17    1       0    0/0       10        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 2028154060  1.0     5326    2707    4/5     59.23   0.01    59.24    1       0    0/0       10        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 2175312090  1.2     5298    2011    4/6     49.96   0.04    50.0     2       0    0/0       14        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 2258260002  1.2     5323    2534    4/6     57.55   0.04    57.59    2       0    0/0       14        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 4997565789  1.0     5379    3791    4/5     78.99   0.01    79.0     1       0    0/0       10        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 5192471197  1.0     5312    2350    4/5     55.68   0.01    55.69    1       0    0/0       10        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 5448756273  1.0     5293    2364    4/5     53.03   0.02    53.05    1       0    0/0       10        6         RANDOM/0.0  RANDOM
800      bt/T/  BEFORE/ T/ T 8634259052  1.0     5311    2156    4/5     51.08   0.01    51.09    1       0    0/0       10        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 1414384866  1.0     5962    3413    4/5     83.58   0.02    83.6     1       0    0/0       10        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 1621232424  1.0     5873    2197    4/5     61.47   0.02    61.49    1       0    0/0       10        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 1972691557  1.0     5883    2451    4/5     66.8    0.01    66.82    1       0    0/0       10        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 2028154060  1.0     5965    3372    4/5     80.72   0.02    80.74    1       0    0/0       10        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 2175312090  1.2     5953    2451    4/6     66.34   0.05    66.39    2       0    0/0       14        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 2258260002  1.2     5973    3192    4/6     78.04   0.05    78.09    2       0    0/0       14        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 4997565789  1.0     6009    4650    4/5     102.76  0.02    102.78   1       0    0/0       10        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 5192471197  1.0     5969    2898    4/5     74.48   0.01    74.49    1       0    0/0       10        6         RANDOM/0.0  RANDOM
900      bt/T/  BEFORE/ T/ T 5448756273  1.0     5913    2581    4/5     68.66   0.01    68.68    1       0    0/0       10        6         RANDOM/0.0  RANDOM
