50   0.325000   0.199157   0.450843
100   1.073000   0.779781   1.366219
150   2.448000   1.697033   3.198967
200   5.874000   3.990956   7.757044
250   11.335000   8.122849   14.547150
300   17.790999   13.713037   21.868961
350   27.766001   22.037411   33.494591
400   50.687000   38.193578   63.180422
450   72.601003   53.087153   92.114852
500   104.205004   77.724041   130.685968
550   152.327997   112.864587   191.791407
600   173.271002   127.293567   219.248438
650   239.404010   174.737137   304.070883
700   292.451991   213.773487   371.130495
750   386.332999   282.265709   490.400288
800   484.334998   342.157255   626.512740
850   562.962988   440.111928   685.814049
900   660.629028   535.176918   786.081138
950   750.507986   609.045984   891.969989
1000   857.076007   704.095138   1010.056876
