200 @   qu/ T/ NIL/ NIL/ NIL 1783960706 16.444445 2358  107390  23379 / 0  0.5     50.31   50.81    1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
200 @   qu/ T/ NIL/ NIL/ NIL 6148712495 13.777778 2295  21455   5421 / 0   0.48    10.18   10.66    1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
200 @   qu/ T/ NIL/ NIL/ NIL 8261581571 17.88889 2430   195011  59325 / 0  0.57    113.49  114.06   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
200 @   qu/ T/ NIL/ NIL/ NIL 4705297406 17.444445 2511  73772   19342 / 0  0.61    36.54   37.15    1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
200 @   qu/ T/ NIL/ NIL/ NIL 6724813580 16.444445 2358  107390  23379 / 0  0.5     47.74   48.24    1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
200 @   qu/ T/ NIL/ NIL/ NIL 8798969000 17.222221 2511  234065  60941 / 0  0.55    132.67  133.22   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
200 @   qu/ T/ NIL/ NIL/ NIL 0805098560 16.777779 2484  169264  28529 / 0  0.57    96.39   96.96    1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
200 @   qu/ T/ NIL/ NIL/ NIL 4767135635 16.444445 2394  56775   13076 / 0  0.51    25.28   25.79    1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
200 @   qu/ T/ NIL/ NIL/ NIL 7685437293 17.88889 2412   286715  74814 / 0  0.51    130.85  131.36   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL default    24.666666 3105  601569  113205 / 0 0.92    399.63  400.55   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 1783960706 21.333334 2952  218998  48188 / 0  0.76    119.71  120.47   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 6148712495 17.555555 2844  78534   19347 / 0  0.73    42.55   43.28    1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 8261581571 22.0    2997    416519  125277 / 0 0.79    293.87  294.66   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 4705297406 21.444445 3096  486380  121318 / 0 0.92    290.32  291.24   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 6724813580 21.333334 2952  218998  48188 / 0  0.76    112.1   112.86   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 8798969000 22.555555 3177  735789  193757 / 0 1.36    531.12  532.48   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 0805098560 22.11111 3078   850115  167333 / 0 0.81    559.83  560.64   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 4767135635 20.88889 3024   162603  37848 / 0  0.85    91.76   92.61    1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
250 @   qu/ T/ NIL/ NIL/ NIL 7685437293 22.444445 3069  450079  114807 / 0 0.82    245.21  246.03   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 *   qu/ T/ NIL/ NIL/ NIL default    28.666666 3681  858100  218829 / 0 1.29    716.15  717.44   175244  0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 @   qu/ T/ NIL/ NIL/ NIL 1783960706 24.88889 3555   545677  125282 / 0 1.14    358.67  359.81   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 @   qu/ T/ NIL/ NIL/ NIL 6148712495 21.444445 3402  358590  92659 / 0  1.03    241.53  242.56   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 *   qu/ T/ NIL/ NIL/ NIL 8261581571 26.88889 3546   1101776 486743 / 0 1.23    908.53  909.76   457852  0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 *   qu/ T/ NIL/ NIL/ NIL 4705297406 26.88889 3798   971548  239097 / 0 1.35    693.79  695.14   55660   0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 @   qu/ T/ NIL/ NIL/ NIL 6724813580 24.88889 3555   545677  125282 / 0 1.12    359.62  360.74   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 *   qu/ T/ NIL/ NIL/ NIL 8798969000 24.555555 3663  924251  322950 / 0 1.2     670.05  671.25   291262  0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 *   qu/ T/ NIL/ NIL/ NIL 0805098560 26.222221 3636  1069846 300444 / 0 1.28    796.17  797.45   254190  0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 *   qu/ T/ NIL/ NIL/ NIL 4767135635 26.0    3645    897332  140208 / 0 1.3     640.38  641.68   39197   0    0/0       0          0        NIL/0.0     RANDOMQUILICI
300 @   qu/ T/ NIL/ NIL/ NIL 7685437293 26.222221 3717  648825  172566 / 0 1.19    524.67  525.86   1       0    0/0       0          0        NIL/0.0     RANDOMQUILICI
