50   247.699997   129.000000   543.000000
100   369.600006   142.000000   622.000000
150   583.599976   361.000000   1192.000000
200   2191.800049   681.000000   3798.000000
250   2265.600098   661.000000   6879.000000
300   3204.000000   736.000000   9406.000000
350   4603.299805   1513.000000   14031.000000
400   4517.500000   1768.000000   13331.000000
450   6599.299805   892.000000   20492.000000
500   7785.899902   3096.000000   21671.000000
550   12640.200195   1134.000000   33498.000000
600   8513.900391   3509.000000   16670.000000
650   12404.200195   3424.000000   44649.000000
700   15708.500000   5601.000000   42567.000000
750   26401.699219   3442.000000   59940.000000
800   22984.800781   11937.000000   55481.000000
850   30513.300781   8702.000000   60474.000000
900   23975.199219   9242.000000   68466.000000
950   33146.199219   9717.000000   91935.000000
1000   30732.599609   9516.000000   100306.000000
