50   196.133333   116.199304   276.067363
100   483.866667   321.227650   646.505683
150   1144.900000   687.395819   1602.404181
200   1829.866667   1226.186550   2433.546784
250   3142.166667   1314.734566   4969.598767
300   3946.733333   2341.305352   5552.161315
350   4976.833333   3169.496141   6784.170526
400   5689.366667   4062.519754   7316.213579
450   7479.333333   5338.194663   9620.472004
500   12083.800000   5747.003487   18420.596513
550   13179.600000   5332.118174   21027.081826
600   12202.133333   8561.180299   15843.086368
650   13741.200000   9797.803053   17684.596947
700   26020.400000   9637.572003   42403.227997
750   23901.700000   12136.470509   35666.929491
800   31425.233333   10785.244213   52065.222454
850   23620.400000   16890.912324   30349.887676
900   24766.866667   17947.409805   31586.323528
950   30342.633333   21553.814591   39131.452075
1000   32301.433333   23085.276483   41517.590183
