50   0.001216   0.000383   0.002048
100   0.003842   0.002490   0.005194
150   0.009701   0.006749   0.012653
200   0.021661   0.016970   0.026351
250   0.043428   0.031438   0.055419
300   0.077628   0.064714   0.090541
350   0.118312   0.099017   0.137608
400   0.197072   0.160840   0.233304
450   0.329701   0.253755   0.405646
500   0.384490   0.328642   0.440338
550   0.476408   0.367735   0.585082
600   0.721464   0.498756   0.944173
650   0.907061   0.639219   1.174904
700   1.172486   0.914105   1.430866
750   1.592569   1.375477   1.809661
800   2.293066   1.728419   2.857712
850   2.537220   2.055901   3.018539
900   2.941841   2.487369   3.396314
950   3.986391   2.915192   5.057590
1000   4.467536   3.477763   5.457309
