Size	Mo/NC /AC /FC /DR   Ident	Dsize	NCC	TCC	BT / V	      AP      S	     Total    NumS    BJ   TypA/B    FCcost    DRcost    ASort/AStime ConsSort

50  @    bt/ T/ NIL/ T/ T    default     0.000000    1002    281     38 / 188   2.33e-4 4.07e-4 6.4700004e-4 1   0    0/0       148        50       T/2.0e-6    RANDOM   RANDOM
50  @    bt/ T/ NIL/ T/ T    1783960706  0.000000    5232    1712    134 / 1380 0.0012449999 0.0020030001 0.0032879994 1 0 0/0  525        160      T/1.6000002e-5 RANDOM RANDOM
50  @    bt/ T/ NIL/ T/ T    6148712495  0.000000    1399    258     29 / 153   3.43e-4 3.8399998e-4 7.3800003e-4 1 0 0/0       180        64       T/3.0e-6    RANDOM   RANDOM
50  @    bt/ T/ NIL/ T/ T    8261581571  0.000000    1934    325     40 / 163   4.7e-4  4.4499998e-4 9.36e-4 1   0    0/0       250        100      T/8.0e-6    RANDOM   RANDOM
50  @    bt/ T/ NIL/ T/ T    4705297406  0.000000    634     78      12 / 30    1.5e-4  1.2e-4  2.74e-4  1       0    0/0       65         28       T/1.0e-6    RANDOM   RANDOM
50  @    bt/ T/ NIL/ T/ T    6724813580  0.000000    3508    1675    131 / 1444 9.16e-4 0.0025139994 0.0034569998 1 0 0/0       283        110      T/1.0e-5    RANDOM   RANDOM
50  @    bt/ T/ NIL/ T/ T    8798969000  0.000000    1720    254     29 / 133   4.22e-4 3.83e-4 8.23e-4  1       0    0/0       212        71       T/7.0e-6    RANDOM   RANDOM
50  @    bt/ T/ NIL/ T/ T    0805098560  0.000000    643     113     16 / 62    1.4700001e-4 1.69e-4 3.22e-4 1   0    0/0       62         28       T/1.0e-6    RANDOM   RANDOM
50  @    bt/ T/ NIL/ T/ T    4767135635  0.000000    1840    496     51 / 349   4.2499998e-4 6.2600005e-4 0.001069 1 0 0/0      181        72       T/5.0e-6    RANDOM   RANDOM
50  @    bt/ T/ NIL/ T/ T    7685437293  0.000000    670     398     45 / 326   1.49e-4 4.5e-4  6.03e-4  1       0    0/0       60         28       T/1.0e-6    RANDOM   RANDOM
