50   117.900000   61.483066   174.316934
100   310.566667   200.853626   420.279707
150   824.700000   419.317666   1230.082334
200   1404.366667   887.463541   1921.269793
250   2471.300000   733.758934   4208.841066
300   3127.166667   1663.432065   4590.901268
350   3902.066667   2347.623516   5456.509817
400   4358.366667   3112.411732   5604.321601
450   5616.166667   4020.060471   7212.272863
500   10152.066667   4085.871249   16218.262085
550   11010.133333   3381.339291   18638.927376
600   9365.900000   6578.602711   12153.197289
650   10680.433333   7563.375909   13797.490758
700   22526.833333   6473.807483   38579.859183
750   19725.433333   8517.331384   30933.535282
800   26593.300000   6342.680888   46843.919112
850   18588.533333   13250.087447   23926.979220
900   19555.700000   14121.989160   24989.410840
950   24193.466667   17249.348084   31137.585249
1000   25784.666667   18364.525097   33204.808236
