50   0.000230   0.000198   0.000263
100   0.000624   0.000556   0.000693
150   0.001188   0.001081   0.001295
200   0.001928   0.001783   0.002073
250   0.003008   0.002729   0.003288
300   0.004527   0.004109   0.004945
350   0.005996   0.005457   0.006535
400   0.008065   0.007218   0.008911
450   0.010717   0.009767   0.011668
500   0.012655   0.011413   0.013897
550   0.015429   0.013822   0.017037
600   0.018832   0.016758   0.020906
650   0.022401   0.019570   0.025233
700   0.026099   0.023221   0.028978
750   0.030635   0.027351   0.033919
800   0.036768   0.032319   0.041218
850   0.040973   0.036232   0.045714
900   0.046451   0.041218   0.051685
950   0.054068   0.048258   0.059879
1000   0.058361   0.052081   0.064641
